_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bbaf7e7f658b5320d3f8ab,Microtus pennsylvanicus nesophilu,Gull Island vole,1890-01-01T00:00:00Z,1890,"Gull Island,New York",--,land,42.53,-82.68,"42.53,-82.68",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8ac,Heteropsomys insulans,Hispaniolan edible rat,1500-01-01T00:00:00Z,1500,Hispaniola,--,land,19.022,-71.11,"19.022,-71.11",North America,DO,SM,,,
57bbaf7e7f658b5320d3f8ad,Heteropsomys insulans,Insular cave rat,1600-01-01T00:00:00Z,1600,Puerto Rico,--,land,18.22,-66.59,"18.22,-66.59",North America,PR,SM,,,
57bbaf7e7f658b5320d3f8ae,Hexolobodon phenax,Imposter hutia,1500-01-01T00:00:00Z,1500,Hispaniola,--,land,19.022,-71.11,"19.022,-71.11",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8af,Xenothrix mcgregori,Jamaican monkey,1500-01-01T00:00:00Z,1500,Jamaica,--,land,18.1,-77.29,"18.1,-77.29",North America,JM,ZZ,,,
57bbaf7e7f658b5320d3f8b0,Oryzomys antillarum,Jamaican rice rat,1870-01-01T00:00:00Z,1870,Jamaica,--,land,14.1,-67.29,"14.1,-67.29",North America,JM,SM,,,
57bbaf7e7f658b5320d3f8b1,Geocapromys thoracatus,Little Swan Island hutia,1950-01-01T00:00:00Z,1950,"Swan Islands,Honduras","A slow-moving, guinea-pig-like rodent disappeared after a severe hurricane (Hurricane Janet) in 1950, followed by the introduction of house cats to the island.",land,17.41,-83.92,"17.41,83.92",North America,HN,ZZ,,,
57bbaf7e7f658b5320d3f8b2,Solenodon marcanoi,Marcano's solenodon,1500-01-01T00:00:00Z,1500,Hispaniola,--,land,22.022,-73.11,"22.022,-73.11",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8b3,Cervus canadensis merriam,Merriam's elk,1900-01-01T00:00:00Z,1900,Southwestern USA,--,land,34.97,-107.93,"34.97,-107.93",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8b4,Ursus arctos nelson,Mexican grizzly bear,1960-01-01T00:00:00Z,1960,Mexico and Southwestern USA,--,land,31.9,-109.93,"31.9,-109.93",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f8b5,Isolobodon montanus,Montane hutia,1500-01-01T00:00:00Z,1500,Hispaniola,--,land,19.022,-71.11,"19.022,-69.11",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8b6,Oryzomys nelsoni,Nelson's rice rat,1890-01-01T00:00:00Z,1890,"Maraa Madre Island,Mexico",--,land,21.63,-106.57,"21.63,-106.57",North America,MX,SM,,,
57bbaf7e7f658b5320d3f8b7,Pennatomys nivalis,Nevis rice rat,1500-01-01T00:00:00Z,1500,Netherlands (Sint Eustatius) & Saint Kitts and Nevis,--,land,17.14,-65.57,"17.14,-65.57",Europe,NE,SM,,,
57bbaf7e7f658b5320d3f8b8,Canis lupus beothuc,Newfoundland wolf,1910-01-01T00:00:00Z,1910,Newfoundland,--,land,48.61,-55.7,"48.61,-55.7",North America,CA,ZZ,,,
57bbaf7e7f658b5320d3f8b9,Boromys offella,Oriente cave rat,1500-01-01T00:00:00Z,1500,Cuba,--,land,21.52,-77.78,"21.52,-77.78",North America,CU,SM,,,
57bbaf7e7f658b5320d3f8ba,Peromyscus polionotus decoloratu,Pallid beach mouse,1950-01-01T00:00:00Z,1950,Florida,--,land,29.21,-81.89,"29.21,81.89",North America,US,SM,,,
57bbaf7e7f658b5320d3f8bb,Isolobodon portoricensis,Puerto Rican hutia,1600-01-01T00:00:00Z,1600,Hispaniola,--,land,17.022,-70.11,"17.022,-70.11",North America,DO,ZZ,,,
57bbaf7e7f658b5320d3f8 bc,Isolobodon portoricensis,Puerto Rican hutia,1600-01-01T00:00:00Z,1600,Puerto Rico,--,land,19.22,-67.59,"19.22,-67.59",North America,PR,ZZ,,,
57bbaf7e7f658b5320d3f8bd,Monophyllus frate,Puerto Rican long-nosed bat,1600-01-01T00:00:00Z,1600,Puerto Rico,--,land,18.22,-66.59,"18.22,-66.59",North America,PR,ZZ,,,
57bbaf7e7f658b5320d3f8be,Megalomys luciae1,Santa Lucian giant rice rat,1850-01-01T00:00:00Z,1850,St. Lucia,--,land,13.91,-60.97,"13.91,-60.97",North America,LC,SM,,,
